Date,dist_200dma,tsmom_12m,valuation_proxy,yc_10y3m,mfg_emp_yoy
2006-09-30,0.01664965286040987,0.032759742756519605,-0.014716486888304181,-0.25,-0.37395046920200015
2006-10-31,0.06448150598451985,0.09711367933705839,0.02698992048268578,-0.47,-0.8527732750722383
2006-11-30,0.09434847864113283,0.07096303704994722,0.05679411782959387,-0.57,-1.0575296108291
2006-12-31,0.0664102583946653,0.06789452744793945,0.0317827282049461,-0.31,-1.268588343082666
2007-01-31,0.08156500508361098,0.047657477303448825,0.04809424761876291,-0.29,-1.4358108108108114
2007-02-28,0.056873087729098604,0.054490402810780436,0.025599263163753827,-0.6,-1.5132319819819773
2007-03-31,0.05123210498996422,0.04032491799630322,0.027004125653202538,-0.39,-1.7311752287121784
2007-04-30,0.08955204839436104,0.09821782837705073,0.07711360740032602,-0.28,-1.996765801870215
2007-05-31,0.096010087221853,0.22069790390496258,0.10681275823432435,0.17,-1.9577464788732346
2007-06-30,0.07667606759673462,0.2278206989244813,0.10504191351357361,0.21,-2.1604503870513714
2007-07-31,0.054245323589707795,0.2799931032536258,0.0995571850585879,-0.18,-2.143108917870995
2007-08-31,0.07135297685280406,0.2589050059546494,0.12692014761965287,0.53,-2.3526918185671875
2007-09-30,0.11344303978730985,0.2641751865023574,0.17939861495256193,0.77,-2.3796033994334276
2007-10-31,0.1654291098353491,0.2923106710308936,0.2556021859357609,0.54,-2.2177992607335772
2007-11-30,0.07049274632226732,0.16628058487438935,0.1658919547524942,0.82,-2.016531281174294
2007-12-31,0.05113151985994713,0.18670948982197366,0.157674033516074,0.68,-1.9273324291526839
2008-01-31,-0.07600097999833877,0.027417598726308112,0.018831850220480062,1.71,-2.0494144530134206
2008-02-29,-0.12018452991000483,-0.009269957016919128,-0.03681420781680034,1.68,-2.165368398484957
2008-03-31,-0.09450080523779947,0.00539961883503981,-0.01911409666868802,2.07,-2.2486393583500464
2008-04-30,-0.020604159357846763,0.026743381700910174,0.05238975401430013,2.34,-2.5109405265800966
2008-05-31,0.03723184589903328,0.05413367357714094,0.11115679069780549,2.17,-2.636115500646463
2008-06-30,-0.06266546525147632,-0.05015770176835643,0.002011360902214543,2.09,-2.9418111199021824
2008-07-31,-0.04221278243871218,-0.04291276237035491,0.006430660270910327,2.31,-3.3282904689863835
2008-08-31,-0.016356323776595683,-0.05842419159330203,0.015787700997275333,2.11,-3.4223283409304694
2008-09-30,-0.14554397725192292,-0.23742417999747112,-0.13594198837884208,2.93,-3.7507254788160194
2008-10-31,-0.25348768603288196,-0.403844589527135,-0.27652819968570874,3.55,-4.4925850537947065
2008-11-30,-0.31492983140130537,-0.43241111264592513,-0.35622250606446704,2.92,-5.272343829539672
2008-12-31,-0.27404642064547413,-0.4188533599972739,-0.3402970776746792,2.14,-6.528859451197322
2009-01-31,-0.2661148180444336,-0.3590544406852064,-0.35462048331510043,2.63,-8.493110738499677
2009-02-28,-0.2736628531910972,-0.359990157549157,-0.3869540848886798,2.76,-9.634769905040175
2009-03-31,-0.14513641126253707,-0.30580327370903004,-0.31837229381338983,2.5,-10.652014652014651
2009-04-30,0.003106920628063836,-0.2729154760615,-0.22905756641246622,3.02,-11.568180145706087
2009-05-31,0.06827070215474973,-0.2937168293223881,-0.20385590511688667,3.33,-12.578384360014748
2009-06-30,0.13528723593362346,-0.19587498299770734,-0.17762612417714552,3.34,-13.198458574181116
2009-07-31,0.23466937466396587,-0.13292055042444872,-0.10464881495893763,3.34,-13.152992026231459
2009-08-31,0.21778437855875254,-0.13209335581421666,-0.0891877414896809,3.25,-13.005693736889423
